; Zeus eventmsg.txt																	   
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"because [leader_name] is really pleased with you"
PHRASE_ally_attacks_rival_initial_announcement		"Keep this quiet, [player_name], because we don't want word of our plans to spread. I, [leader_name], leader of your ally [city_name], have received reports that [rival_city_name], our common enemy, has developed a weakness in its defenses. Now is the perfect time to strike them. If I can borrow some of your troops, we can be sure to beat them! Send me the troops within [travel_time] months, and you can share in my glory."
PHRASE_ally_attacks_rival_first_reminder 			"My friend [player_name], my preparations are almost complete. All I need is some forces from you, and we will be able to conquer [rival_city_name].  Please send them soon."
PHRASE_ally_attacks_rival_last_reminder 			"Greetings, [player_name]. I, [leader_name] of [city_name], can't believe you'd let an opportunity like this pass!  I am doing you a favor by giving you the opportunity to participate in what is sure to be a great military victory at [rival_city_name]. I need your troops now if you want to participate."
PHRASE_ally_attacks_rival_early_reason				"Your troops arrived at [rival_city_name] early, and our foe was defeated. As a result,"
PHRASE_ally_attacks_rival_comply_reason 			"The troops that you sent to defeat [rival_city_name] were invaluable, and we quickly dispatched our foe. My people are singing your praises, and"
PHRASE_ally_attacks_rival_too_late_reason			"You waited much too long to send me the troops that I needed to attack [rival_city_name]!"
PHRASE_ally_attacks_rival_refuse_reason				"You refused to send me the forces I needed to defeat [rival_city_name]!"
PHRASE_ally_attacks_rival_lost_battle_reason 		"The soldiers you sent to help me attack [rival_city_name] were feeble, and the battle was lost!"
PHRASE_ally_attacks_rival_no_reason					""			

PHRASE_CONDENSED_ally_attacks_rival_title 					"N/A"
PHRASE_CONDENSED_ally_attacks_rival_oracle_prediction_S		"NOT PREDICTABLE"
PHRASE_CONDENSED_ally_attacks_rival_initial_announcement		"[city_name] attacks rival and requests military aid within [travel_time] months."
PHRASE_CONDENSED_ally_attacks_rival_first_reminder 			"Send [city_name] the requested soldiers soon."
PHRASE_CONDENSED_ally_attacks_rival_last_reminder 			"Send soldiers now if you want to help [city_name]."
PHRASE_CONDENSED_ally_attacks_rival_early_reason				"since your soldiers arrived at [rival_city_name] early,"
PHRASE_CONDENSED_ally_attacks_rival_comply_reason 			"since your soldiers helped [city_name] win the battle"
PHRASE_CONDENSED_ally_attacks_rival_too_late_reason			"since your troops were too late to help [city_name]"
PHRASE_CONDENSED_ally_attacks_rival_refuse_reason				"since you did not send troops to help [city_name]"
PHRASE_CONDENSED_ally_attacks_rival_lost_battle_reason 		"since your troops did not help [city_name] win its battle"
PHRASE_CONDENSED_ally_attacks_rival_no_reason					""	

;*****Vassal attacks rival (plea tone only)*********************
PHRASE_vassal_attacks_rival_title_P 				"[city_name] attacks [rival_city_name]"
PHRASE_vassal_attacks_rival_oracle_prediction_P		"NOT PREDICTABLE"
PHRASE_vassal_attacks_rival_initial_announcement_P		"I have exciting news, most honored [player_name]. I have learned that [rival_city_name], our rival, is ripe for attack. Imagine how ashamed they will be when I, [leader_name] of the humble city of [city_name], your vassal, defeat them, with the help of your forces, of course. Please send them within [travel_time] months."
PHRASE_vassal_attacks_rival_first_reminder_P 			"If we don't act soon, [player_name], [rival_city_name] will slip from our grasp. Send soldiers to attack this rival soon, and we'll soon find ourselves with one less rival! "
PHRASE_vassal_attacks_rival_last_reminder_P 			"Now is the time for action, [player_name]. If you send forces now, I, [leader_name] of [city_name], we still might be able to defeat [rival_city_name]. If you dally any longer, all will be lost."
PHRASE_vassal_attacks_rival_early_reason_P				"Thank you! Thank you for sending soldiers to attack [rival_city_name]. They arrived early and trounced our foe."
PHRASE_vassal_attacks_rival_comply_reason_P 			"With the help of your soldiers, I defeated [rival_city_name]. As a result,"
PHRASE_vassal_attacks_rival_too_late_reason_P			"Your soldiers arrived too late to help me at the battle of [rival_city_name]."
PHRASE_vassal_attacks_rival_refuse_reason_P				"Because you refused to send forces to [rival_city_name],"
PHRASE_vassal_attacks_rival_lost_battle_reason_P 		"The soldiers you sent to defeat [rival_city_name] were too weak! As a result,"
PHRASE_vassal_attacks_rival_no_reason_P					""	

PHRASE_CONDENSED_vassal_attacks_rival_title_P 				"N/A"
PHRASE_CONDENSED_vassal_attacks_rival_oracle_prediction_P		"NOT PREDICTABLE"
PHRASE_CONDENSED_vassal_attacks_rival_initial_announcement_P		"[city_name] begs for troops within [travel_time] months to attack [rival_city_name]."
PHRASE_CONDENSED_vassal_attacks_rival_first_reminder_P 			"Send [city_name] the requested troops soon."
PHRASE_CONDENSED_vassal_attacks_rival_last_reminder_P 			"Send [city_name] troops now if you want to help."
PHRASE_CONDENSED_vassal_attacks_rival_early_reason_P				"since your troops arrived early to help [city_name]"
PHRASE_CONDENSED_vassal_attacks_rival_comply_reason_P 			"since your troops helped [city_name] win"
PHRASE_CONDENSED_vassal_attacks_rival_too_late_reason_P			"since your troops were too late to help [city_name]"
PHRASE_CONDENSED_vassal_attacks_rival_refuse_reason_P				"since you did not send troops to help [city_name]"
PHRASE_CONDENSED_vassal_attacks_rival_lost_battle_reason_P 		"since the troops you sent to help [city_name] did not win"
PHRASE_CONDENSED_vassal_attacks_rival_no_reason_P					""	




;*******************************************AWARDS*********************************************

;********************Gift**************************
PHRASE_gift_title 						"Gift of [itemshort] from [city_name]"
PHRASE_gift_granted						"Greetings, [player_name]. I, [leader_name] of [city_name], wish to give you a present of [amount] [item]. Please accept it with my compliments."
PHRASE_gift_cash_granted				"Hello, [player_name]. I, [leader_name] of [city_name], wish to offer you a gift of [amount] drachmas. Please accept it with my compliments."
PHRASE_gift_partial_space				"Hello, [player_name]. I, [leader_name] of [city_name], wish to grant you a gift of [amount] [item].  I've noticed that you don't have quite enough storage space to hold the entire gift. I could give you as much as you can accommodate now, or you can clear some room and I can return next month."
PHRASE_gift_insufficient_space 			"Greetings, [player_name]. I, [leader_name] of [city_name], wish to give you a gift of [amount] [item]. But, I see that your storage facilities can't accept the items now. I will return in a month's time to offer you the gift again. Clear some space in your storage facilities if you would like to accept it."
PHRASE_gift_last_chance 				"Hello, [player_name]. I, [leader_name] of [city_name], have been trying to give you a gift of [amount] [item]. You still do not have enough room to store all of it. If you don't accept as much of the gift as you can now, then I will withdraw it."
PHRASE_gift_forfeited 					"Hello, [player_name]. I guess you don't want my gift of [amount] [item] that my people at [city_name] so lovingly prepared for you. You never made room for it in your storage facilities. Perhaps I can find someone who is more deserving of the gift than you are."
PHRASE_gift_accepted 					"I, [leader_name] of [city_name], have dropped off as much of the [item] as your storage facilities could hold, [player_name]."
PHRASE_gift_cash_accepted 				"[player_name], your treasury glistens with the [amount_granted] drachmas that I, [leader_name] of [city_name], have given you."
PHRASE_gift_postponed 					"I, [leader_name] of [city_name], will return in one month and proffer the [amount] [item] again."
PHRASE_gift_refused 					"You are refusing my gift, [player_name]? I suppose there is nothing left for me to do but to return home to [city_name] with the [item] that could have been yours."
PHRASE_gift_accepted_reason  	 		"because you accepted my gift of a [amount] [item] from me and my people,"
PHRASE_gift_forfeited_reason  	 		"because you did not accept my gift of [amount] [item] from my people,"
PHRASE_gift_refused_reason  	 		"because you refused my gift of [amount] [item],"
PHRASE_gift_no_reason  					"na"

PHRASE_CONDENSED_gift_title 						"N/A"
PHRASE_CONDENSED_gift_granted						"[city_name] wishes to grant you a gift of [amount] [item]."
PHRASE_CONDENSED_gift_cash_granted				"[city_name] wishes to grant you a gift of [amount] drachmas."
PHRASE_CONDENSED_gift_partial_space				"Accept partial gift now or make room to store it."
PHRASE_CONDENSED_gift_insufficient_space 			"Make room to accept gift from [city_name]."
PHRASE_CONDENSED_gift_last_chance 				"Accept partial gift now or forfeit it."
PHRASE_CONDENSED_gift_forfeited 					"Still not enough space for gift from [city_name]. Gift is forfeit."
PHRASE_CONDENSED_gift_accepted 					"As much as possible of gift from [city_name] has been accepted."
PHRASE_CONDENSED_gift_cash_accepted 				"Treasury filled with [amount_granted] drachmas from [city_name]."
PHRASE_CONDENSED_gift_postponed 					"Gift from [city_name] will be offered again next month."
PHRASE_CONDENSED_gift_refused 					"Gift from [city_name] refused."
PHRASE_CONDENSED_gift_accepted_reason  	 		"because you accepted a gift of [amount] [item] from [city_name]"
PHRASE_CONDENSED_gift_forfeited_reason  	 		"because you did not accept the gift of [amount] [item] from [city_name]"
PHRASE_CONDENSED_gift_refused_reason  	 		"because you refused a gift of [amount] [item] from [city_name]"
PHRASE_CONDENSED_gift_no_reason  					""

;********************Request granted**************************
PHRASE_request_granted_title 						"[city_name] grants [itemshort]"
PHRASE_request_granted_granted						"Hello, [player_name].  I, [leader_name] of [city_name], have heard your request and have decided to comply with your wishes. Here are the [amount] [item] that you wanted."
PHRASE_request_granted_cash_granted				"Greetings, [player_name]. Your request for [amount] drachmas seemed reasonable, so I, [leader_name] of [city_name], have decided to grant it."
PHRASE_request_granted_partial_space				"Greetings, [player_name]. I, [leader_name] of [city_name], am ready to grant your request for [amount] [item]. You do not, however, have enough storage space to accept the entire amount. You do have the room to accept at least half of it, though. I can either grant you as much as your storage facilities can accommodate, or return next month in the hopes that you have cleared enough room for it."
PHRASE_request_granted_insufficient_space 			"Hello, [player_name]. I, [leader_name] of [city_name], have decided to respond favorably to your request for [item]. I have [amount] of the item ready for you, but you do not have the storage space to accept all of it. I'll return in one month with the [amount] [item]. In the meantime, I would suggest that you make some room for the items in your storage facilities."
PHRASE_request_granted_last_chance 				"[player_name], I am trying very hard to comply with your request for [item], but you are making it difficult on me. You still have not made enough room for all of the [amount] of the item, and I am in no mood to come back here again. Take what you can of the [item] now, or I will take all of it back to [city_name] with me."
PHRASE_request_granted_forfeited 					"I am a little confused, [player_name]. You are the one who asked me, [leader_name] of [city_name], for the [amount] [item]. Yet, you never cleared enough room for it in your storage facilities. I will gladly take the items back to my city. I'm sure we have the room to store it."
PHRASE_request_granted_accepted 					"I have delivered as much of the [amount] [item] you requested as your city can store."
PHRASE_request_granted_cash_accepted 				"Your treasury is now swollen with the [amount_granted] drachmas that I, [leader_name] of [city_name] have granted you in response to your request."
PHRASE_request_granted_postponed 					"I will return in one month with the [item] that you requested."
PHRASE_request_granted_refused 					"What? [player_name], did you actually refuse to accept the [item] that you requested of me? Have it your way!"
PHRASE_request_granted_accepted_reason  	 		"because you accepted the [amount] [item] that I granted you in response to your request,"
PHRASE_request_granted_forfeited_reason  	 		"because you never made enough room to accept the [amount] [item] that I granted in response to your request,"
PHRASE_request_granted_refused_reason  	 		"because you refused to accept my bequest of [amount] [item] that I offered you in response to your request,"
PHRASE_request_granted_no_reason  					""

PHRASE_CONDENSED_request_granted_title 						"N/A"
PHRASE_CONDENSED_request_granted_granted						"[city_name] has responded to your request for [item]."
PHRASE_CONDENSED_request_granted_cash_granted				"[city_name] has responded to your request for drachmas."
PHRASE_CONDENSED_request_granted_partial_space				"Accept some of the [item] now or wait for next month."
PHRASE_CONDENSED_request_granted_insufficient_space 			"Clear enough space for [item]."
PHRASE_CONDENSED_request_granted_last_chance 				"Accept partial shipment of [item] now or forfeit it."
PHRASE_CONDENSED_request_granted_forfeited 					"Shipment of [item] from [city_name] cancelled."
PHRASE_CONDENSED_request_granted_accepted 					"As much of the [item] as possible have been accepted."
PHRASE_CONDENSED_request_granted_cash_accepted 				"Shipment from [city_name] accepted."
PHRASE_CONDENSED_request_granted_postponed 					"Shipment of goods from [city_name] will be offered again next month."
PHRASE_CONDENSED_request_granted_refused 					"Shipment of [item] from [city_name] refused."
PHRASE_CONDENSED_request_granted_accepted_reason  	 		"because you accepted [item] from [city_name]"
PHRASE_CONDENSED_request_granted_forfeited_reason  	 		"because you did not accept [item] from [city_name]"
PHRASE_CONDENSED_request_granted_refused_reason  	 		"because you refused [item] from [city_name]"
PHRASE_CONDENSED_request_granted_no_reason  					""

;********************Tribute Paid**************************
PHRASE_tribute_paid_title 						"Tribute paid by [city_name]"
PHRASE_tribute_paid_granted						"Most feared [player_name], I, [leader_name] of [city_name], am honored to offer you my tribute of [amount] [item]. I salute you."
PHRASE_tribute_paid_cash_granted				"Dread lord [player_name], I, [leader_name] of [city_name], willingly and gladly offer you my yearly tribute of [amount] drachmas. May you find a great and noble use for it in the coming year."
PHRASE_tribute_paid_partial_space				"Most noble [player_name], I, [leader_name] of [city_name], wish to make my annual tribute of [amount] [item]. Regrettably, you do not have enough room in your storage facilities to store all of the tribute, but I will be happy to give you as much of it as you can accept."
PHRASE_tribute_paid_insufficient_space 			"Magnificent [player_name], I, [leader_name] of [city_name], am doing my best to do my duty to you. I have brought my tribute of [amount] [item], but you do not have the space to store it!"
PHRASE_tribute_paid_last_chance 				"Magnificent [player_name], I, [leader_name] of [city_name], am doing my best to do my duty to you. I have brought my tribute of [amount] [item], but you still do not have the space to store it. I must return to my city, so please accept as much of it as you can now, or agree to forfeit the tribute for the year."
PHRASE_tribute_paid_forfeited 					"Wise [player_name], you were unable to accept my tribute of [amount] [item]. I, [leader_name] of [city_name], must return home now, and I will be taking the [amount] [item] with me."
PHRASE_tribute_paid_accepted 					"I have filled your storage facilities with as much of my tribute of [amount] [item] as they can hold."
PHRASE_tribute_paid_cash_accepted 				"My tribute of [amount] drachmas has been accepted into your coffers. I am pleased to give it."
PHRASE_tribute_paid_postponed 					"I will return in one month's time with my tribute payment of [amount] [item]. Hopefully, you will have enough room to accept it."
PHRASE_tribute_paid_refused 					"I will take my tribute payment of [amount] [item] back home, since you have declined to accept it. Please give me credit for trying to pay it."
PHRASE_tribute_paid_accepted_reason  	 		"because you accepted my  tribute payment of [amount] [item],"
PHRASE_tribute_paid_forfeited_reason  	 		"because you forfeited my tribute payment of [amount] [item],"
PHRASE_tribute_paid_refused_reason  	 		"because you refused my tribute payment of [amount] [item],"
PHRASE_tribute_paid_no_reason  					""

PHRASE_CONDENSED_tribute_paid_title 						"N/A"
PHRASE_CONDENSED_tribute_paid_granted						"[city_name] sends tribute of [amount] [item]."
PHRASE_CONDENSED_tribute_paid_cash_granted				"[city_name] sends tribute of [amount] drachmas."
PHRASE_CONDENSED_tribute_paid_partial_space				"[city_name] sends tribute of [amount] [item]."
PHRASE_CONDENSED_tribute_paid_insufficient_space 			"no space for tribute of [amount] [item] from [city_name]."
PHRASE_CONDENSED_tribute_paid_last_chance 				"Accept partial tribute payment now or forfeit it."
PHRASE_CONDENSED_tribute_paid_forfeited 					"Tribute from [city_name] forfeited due to lack of space."
PHRASE_CONDENSED_tribute_paid_accepted 					"Tribute of [amount] [item] from [city_name] accepted"
PHRASE_CONDENSED_tribute_paid_cash_accepted 				"Tribute of [amount_granted] drachmas from [city_name] accepted."
PHRASE_CONDENSED_tribute_paid_postponed 					"Tribute payment from [city_name] postponed."
PHRASE_CONDENSED_tribute_paid_refused 					"Tribute payment from [city_name] declined."
PHRASE_CONDENSED_tribute_paid_accepted_reason  	 		"because you accepted tribute from [city_name]"
PHRASE_CONDENSED_tribute_paid_forfeited_reason  	 		"because you forfeited tribute from [city_name]"
PHRASE_CONDENSED_tribute_paid_refused_reason  	 		"because you refused tribute from [city_name]"
PHRASE_CONDENSED_tribute_paid_no_reason  					""

;********************Rescue cash**************************
PHRASE_rescue_cash_title 						"A helping hand from [city_name]"
PHRASE_rescue_cash_granted						"Hello, [player_name]. You are one of my favorite people in all the world, and I have received word that you are having some financial difficulties. I, [leader_name] of [city_name], would be honored to offer you [amount] drachmas to help you through these difficult times."
PHRASE_rescue_cash_cash_granted					"Hello, [player_name]. I've noticed that you could use some money. Because I think so highly of you, I, [leader_name] of [city_name], have decided to grant you [amount] drachmas. I am pleased to be able to help."
PHRASE_rescue_cash_partial_space				""
PHRASE_rescue_cash_insufficient_space 			""
PHRASE_rescue_cash_last_chance 					""
PHRASE_rescue_cash_forfeited 					""
PHRASE_rescue_cash_accepted 					"I have deposited the [amount] drachmas into your treasury. Hopefully, the future will be more profitable than the past has been."
PHRASE_rescue_cash_cash_accepted 				"The drachmas I promised you are now safely stored in your treasury."
PHRASE_rescue_cash_postponed 					"You have postponed acceptance of financial help from [city_name]."
PHRASE_rescue_cash_refused 						"I thought you might appreciate a little financial help, but I guess you don't need it.  I will take my gift of [amount] drachmas back home, since you refuse to accept it."
PHRASE_rescue_cash_accepted_reason  	 		"because you accepted  financial aid from [city_name],"
PHRASE_rescue_cash_forfeited_reason  	 		"because you forfeited financial aid from [city_name],"
PHRASE_rescue_cash_refused_reason  	 			"because you refused to accept financial aid from [city_name],"
PHRASE_rescue_cash_no_reason  					""

PHRASE_CONDENSED_rescue_cash_title 						""
PHRASE_CONDENSED_rescue_cash_granted					"[city_name] grants [amount] drachmas in debt relief."
PHRASE_CONDENSED_rescue_cash_cash_granted				"[city_name] grants [amount] drachmas in debt relief."
PHRASE_CONDENSED_rescue_cash_partial_space				""
PHRASE_CONDENSED_rescue_cash_insufficient_space 		""
PHRASE_CONDENSED_rescue_cash_last_chance 				""
PHRASE_CONDENSED_rescue_cash_forfeited 					""
PHRASE_CONDENSED_rescue_cash_accepted 					"[amount] drachmas have been added to your treasury."
PHRASE_CONDENSED_rescue_cash_cash_accepted 				"[amount] drachmas have been added to your treasury."
PHRASE_CONDENSED_rescue_cash_postponed 					"Financial aid from [city_name] postponed for one month."
PHRASE_CONDENSED_rescue_cash_refused 					"Financial aid from [city_name] has been refused."
PHRASE_CONDENSED_rescue_cash_accepted_reason  	 		"since you accepted financial aid from [city_name]"
PHRASE_CONDENSED_rescue_cash_forfeited_reason  	 		"because you forfeited financial aid from [city_name]"
PHRASE_CONDENSED_rescue_cash_refused_reason  	 			"since you refused financial aid from [city_name]"
PHRASE_CONDENSED_rescue_cash_no_reason  					""




;*******************************************INVASIONS****************************************
;********Invasion****************************************
PHRASE_invasion_title 					"[city_name] launches invasion!"
PHRASE_invasion_oracle_prediction		"[greeting] [player_name], seers have looked into the black hearts of [a_foreign_army] from [city_name] and have seen nothing but malevolence there. They will mount an attack against your city and begin their approach to your borders within one year."
PHRASE_invasion_initial_announcement	"Horrors, [player_name], [reason_phrase] [a_foreign_army] of [leader_name], leader of [city_name] is approaching and will try to invade the city in [time_until_attack] months."
PHRASE_invasion_2year_reminder 			"Beware, [player_name], [a_foreign_army] from [city_name] approaches ever closer to our city.  They will arrive in two years' time."
PHRASE_invasion_1year_reminder 			"[greeting] [player_name], [a_foreign_army] from [city_name] is on the move and will reach your city in one year."
PHRASE_invasion_6month_warning 			"[greeting] [player_name], in just six months, [a_foreign_army] from [city_name] will arrive to attack your city.  Make sure you are prepared for their arrival."
PHRASE_invasion_1month_Warning 			"[greeting] [player_name], the time to prepare has passed.  In one month, [reason_phrase] [a_foreign_army] from [city_name] will arrive here, bent on conquest."
PHRASE_invasion_city_attacked_alert  	"[greeting] [player_name], [a_foreign_army] from [city_name] is upon us, determined to destroy the city!"
PHRASE_invasion_reason  	 	 		"because your city was attacked by [a_foreign_army] from [city_name]"
PHRASE_invasion_no_reason	  	 		"because they want more land to call their own,"
PHRASE_invasion_disembarked_alert  	    "[greeting] [player_name], [a_foreign_army] from [city_name] has landed on our shores and has begun its attack.  May your soldiers be filled with the spirit of Ares to fend off the attack."
PHRASE_invasion_1month_Warning_AC		"[greeting] [player_name], the time to prepare has passed.  In one month, [a_foreign_army] from [city_name] will arrive here to conquer you.  Your well-trained commanders are ready and will handle all the tactical decisions for you."

PHRASE_CONDENSED_invasion_title 					"N/A"
PHRASE_CONDENSED_invasion_oracle_prediction		"Seers predict that [a_foreign_army] will move towards your city within one year."
PHRASE_CONDENSED_invasion_initial_announcement	"[a_foreign_army] will invade your city in [time_until_attack] months."
PHRASE_CONDENSED_invasion_2year_reminder 			"[a_foreign_army] will invade your city in two years."
PHRASE_CONDENSED_invasion_1year_reminder 			"[a_foreign_army] will invade your city in one year."
PHRASE_CONDENSED_invasion_6month_warning 			"[a_foreign_army] will invade your city in six months."
PHRASE_CONDENSED_invasion_1month_Warning 			"[a_foreign_army] will invade your city in one month."
PHRASE_CONDENSED_invasion_city_attacked_alert  	"[a_foreign_army] is on our soil now!"
PHRASE_CONDENSED_invasion_reason  	 	 		"because [a_foreign_army] attacked you"
PHRASE_CONDENSED_invasion_no_reason  	 		""
PHRASE_CONDENSED_invasion_disembarked_alert  	    "[a_foreign_army] has landed and is attacking the city!"
PHRASE_CONDENSED_invasion_1month_Warning_AC		"Your generals await the arrival of [a_foreign_army] in one month."

;********************************CITY AND WORLD STATUS CHANGES************************************
; 'trade suspended' and 'trade resumed' are only triggered by provocation.  Reason phrase may be embedded directly in text.
;*****Trade suspended**********************************
PHRASE_trade_suspended_title 					"Trade with [city_name] suspended"
PHRASE_trade_suspended_initial_announcement    "You've disgusted me, [player_name]. I, [leader_name] of [city_name], no longer wish to trade with you."
PHRASE_trade_suspended_no_reason	  			"N/A"

PHRASE_CONDENSED_trade_suspended_title 					"N/A"
PHRASE_CONDENSED_trade_suspended_initial_announcement    "Trade with [city_name] has stopped."
PHRASE_CONDENSED_trade_suspended_no_reason	  			"N/A"

;*****Trade resumed**********************************
PHRASE_trade_resumed_title 						"Trade with [city_name] resumed"
PHRASE_trade_resumed_initial_announcement		"Well, [player_name], even though I'm not thrilled with some of your past actions, I, [leader_name] of [city_name], will reopen trade with you."
PHRASE_trade_resumed_no_reason	  				"N/A"

PHRASE_CONDENSED_trade_resumed_title 						"N/A"
PHRASE_CONDENSED_trade_resumed_initial_announcement		"Trade with [city_name] resumes."
PHRASE_CONDENSED_trade_resumed_no_reason	  				"N/A"

;*****Trade Shuts Down**********************************
PHRASE_trade_shuts_down_title 					"Trade with [city_name] shuts down"
PHRASE_trade_shuts_down_oracle_prediction	    "I, the prescient priestess from the oracle, have this to say to you, [player_name]: trade with [city_name] will cease within a year's time. "
PHRASE_trade_shuts_down_initial_announcement    "Hello, [player_name]. I, [leader_name] of [city_name], regret to inform you that I will no longer be able to trade with you. I assure you it is not the result of your actions."
PHRASE_trade_shuts_down_no_reason	  			"N/A"

PHRASE_CONDENSED_trade_shuts_down_title 					"N/A"
PHRASE_CONDENSED_trade_shuts_down_oracle_prediction	    "Seers predict that trade with [city_name] will shut down."
PHRASE_CONDENSED_trade_shuts_down_initial_announcement    "Trade with [city_name] has shut down."
PHRASE_CONDENSED_trade_shuts_down_no_reason	  			"N/A"

;*****Trade opens up**********************************
PHRASE_trade_opens_up_title 						"Trade with [city_name] opens up"
PHRASE_trade_opens_up_oracle_prediction			"I, the sage seer from the oracle, foresee that [leader_name] of [city_name] will seek to open trade relations with you within one year."
PHRASE_trade_opens_up_initial_announcement		"Greetings, [player_name]. I, [leader_name] of [city_name], propose that we begin trading with each other. It could be beneficial for both of us."
PHRASE_trade_opens_up_no_reason	  				"N/A"

PHRASE_CONDENSED_trade_opens_up_title 						"N/A"
PHRASE_CONDENSED_trade_opens_up_oracle_prediction			"Seers predict that [city_name] will trade with you."
PHRASE_CONDENSED_trade_opens_up_initial_announcement		"[city_name] can now trade with you."
PHRASE_CONDENSED_trade_opens_up_no_reason	  				"N/A"

;for the following increase/decrease events, 
; _I = Increase
; _D = Decrease

;*****Demand Changes**************************
PHRASE_demand_change_title_I 					"[city_name] buys more [itemshort]"
PHRASE_demand_change_oracle_prediction_I 		"I am the priestess from the oracle, and I have seen the future! [leader_name] of [city_name] will be willing to trade even more [item]!"
PHRASE_demand_change_initial_announcement_I 	"Hello, [player_name]. I, [leader_name] of [city_name], am willing to buy more [item] from your city. It's amazing just how quickly my city goes through its supply!"
PHRASE_demand_change_no_reason_I	  ""

PHRASE_CONDENSED_demand_change_title_I 					"N/A"
PHRASE_CONDENSED_demand_change_oracle_prediction_I 		"Seers predict that [city_name] will trade even more [itemshort]."
PHRASE_CONDENSED_demand_change_initial_announcement_I 	"[city_name] is now willing to trade even more [itemshort]."
PHRASE_CONDENSED_demand_change_no_reason_I	  ""

PHRASE_demand_change_title_D 					"[city_name] buys less [itemshort]"
PHRASE_demand_change_oracle_prediction_D 		"I, the seer from the oracle, reveal to you that the city of [city_name] will require less [item] and will decrease the amount that they will buy from you."
PHRASE_demand_change_initial_announcement_D 	"Things change, [player_name]. I, [leader_name] of [city_name], have decided to reduce the amount of [item] that I buy from you. My city just doesn't use as much as it once did."
PHRASE_demand_change_no_reason_D	  ""

PHRASE_CONDENSED_demand_change_title_D 					"N/A"
PHRASE_CONDENSED_demand_change_oracle_prediction_D 		"Seers predict that [city_name] will trade less [itemshort]."
PHRASE_CONDENSED_demand_change_initial_announcement_D 	"[city_name] has reduced the amount of [itemshort] that it trades."
PHRASE_CONDENSED_demand_change_no_reason_D	  ""

PHRASE_supply_change_title_I 					"[city_name] sells more [itemshort]"
PHRASE_supply_change_oracle_prediction_I 	    "I, the priestess from the oracle, have heard from the gods themselves that [city_name] will soon be willing to sell you more [item]."
PHRASE_supply_change_initial_announcement_I 	"Greetings, [player_name]. I, [leader_name] of [city_name], am pleased to announce that we can sell you more [item] than we could before!"
PHRASE_supply_change_no_reason_I	  ""

PHRASE_CONDENSED_supply_change_title_I 					"N/A"
PHRASE_CONDENSED_supply_change_oracle_prediction_I 	    "Seers predict that [city_name] will sell even more [itemshort]."
PHRASE_CONDENSED_supply_change_initial_announcement_I 	"[city_name] will now sell more [itemshort]."
PHRASE_CONDENSED_supply_change_no_reason_I				  ""

PHRASE_supply_change_title_D 					"[city_name] sells less [itemshort]"
PHRASE_supply_change_oracle_prediction_D 		"I, the priestess from the oracle, foresee that within one year, [leader_name] of [city_name] will reduce the amount of [item] sold to your city!"
PHRASE_supply_change_initial_announcement_D 	"Hello, [player_name]. I, [leader_name] of [city_name], must reduce the amount of [item] that I sell to you every year.  My own city is using more of the supply than it did before."
PHRASE_supply_change_no_reason_D				  ""

PHRASE_CONDENSED_supply_change_title_D 					"N/A"
PHRASE_CONDENSED_supply_change_oracle_prediction_D 		"Seers predict that [city_name] will sell you less [item]."
PHRASE_CONDENSED_supply_change_initial_announcement_D 	"[city_name] will now sell you less [item]."
PHRASE_CONDENSED_supply_change_no_reason_D	            ""

;******Price Changes**************************************
PHRASE_price_change_title_I 					"Price increase for [itemshort]"
PHRASE_price_change_oracle_prediction_I			"I, the great priestess from the oracle, predict that the price of [itemshort] will rise within one year. Importing this good will cost more, [player_name], but higher profits will be made from exporting it."
PHRASE_price_change_initial_announcement_I		"Oh great [player_name], because of reduced supplies throughout the world, the price of [itemshort] has risen by the amount shown above. Importing this good is now costlier, but higher profits can be made from exporting it."
PHRASE_price_change_no_reason_I		   			""

PHRASE_CONDENSED_price_change_title_I 					"N/A"
PHRASE_CONDENSED_price_change_oracle_prediction_I			"Seers predict that [itemshort] will be costlier."
PHRASE_CONDENSED_price_change_initial_announcement_I		"The price of [itemshort] has risen."
PHRASE_CONDENSED_price_change_no_reason_I		   			""

PHRASE_price_change_title_D 					"Price decrease for [itemshort]"
PHRASE_price_change_oracle_prediction_D			"Greetings, [player_name]. I, the priestess from the oracle, foresee a shift in the trade winds.  Within one year, there will be a surplus of [itemshort], so the price of this item will fall. This will reduce the profits to be made by selling it, but it will become less expensive to buy."
PHRASE_price_change_initial_announcement_D		"Most noble [player_name], because of an overabundance across the world, the price of [itemshort] has fallen by the amount shown above. This reduces profits from selling it, but makes it cheaper to buy."
PHRASE_price_change_no_reason_D  				""

PHRASE_CONDENSED_price_change_title_D 					"N/A"
PHRASE_CONDENSED_price_change_oracle_prediction_D			"Seers predict that the price of [itemshort] will fall."
PHRASE_CONDENSED_price_change_initial_announcement_D		"The price of [itemshort] fallen."
PHRASE_CONDENSED_price_change_no_reason_D  				""

;*****Wage change**************************************
PHRASE_wage_change_title_I 					"Wage expectations change"
PHRASE_wage_change_oracle_prediction_I 		"I, the all-knowing priestess from the oracle, predict that people's expectations will change, [player_name].  They will expect to be paid more than they currently are."
